PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
23,CBPF-AFG-24-R-INGO-27990,11,100.00,316##317##,Baghlan,Baghlan-e-Jadid,,,,,3946##3721##3021##3102,3946##3721##3021##3102,,,,,"36.00691852,68.64517059","36.27906679,68.72348325",,,,,424839.80,424839.80,,,,,2024,2048##2225##4496##4332,2048##2225##4496##4332,,,,
23,CBPF-AFG-24-R-INGO-27990,11,100.00,316##317##,Jawzjan,Shiberghan,,,,,1896##2706##1725##2563,1896##2706##1725##2563,,,,,"36.61767965,65.76233253","36.61767965,65.76233253",,,,,260385.69,260385.69,,,,,2024,2429##2393##1852##1906,2429##2393##1852##1906,,,,
23,CBPF-AFG-24-R-INGO-27991,7,100.00,316##317##,Kunar,Nurgal,,,,,2088##5220##4872##5220,2088##5220##4872##5220,,,,,"34.87348561,71.12998779","34.69480754,70.73331238",,,,,257754.53,257754.53,,,,,2024,4002##8303##9000##9018,4002##8303##9000##9018,,,,
23,CBPF-AFG-24-R-INGO-27991,7,100.00,316##317##,Laghman,Alingar,,,,,1362##3406##3178##3406,1362##3406##3178##3406,,,,,"34.63364302,69.95091270","34.82310990,70.41262000",,,,,168100.78,168100.78,,,,,2024,2510##4747##4228##4554,2510##4747##4228##4554,,,,
23,CBPF-AFG-24-R-INGO-27991,7,100.00,316##317##,Laghman,Qarghayi,,,,,1080##2700##2520##2698,1080##2700##2520##2698,,,,,"34.63364302,69.95091270","34.51781658,70.20309012",,,,,134480.63,134480.63,,,,,2024,2702##6666##5559##6150,2702##6666##5559##6150,,,,
23,CBPF-AFG-24-R-INGO-28013,11,100.00,316##317##,Kandahar,Daman,,,,,1773##1960##2707##2893,1773##1960##2707##2893,,,,,"31.51268617,65.70859557","30.85137201,65.57281532",,,,,297767.09,297767.09,,,,,2024,2959##3053##6668##5849,2959##3053##6668##5849,,,,
23,CBPF-AFG-24-R-INGO-28013,11,100.00,316##317##,Kandahar,Kandahar,,,,,1774##1960##2708##2894,1774##1960##2708##2894,,,,,"31.51268617,65.70859557","31.51268617,65.70859557",,,,,297767.09,297767.09,,,,,2024,585##673##1110##1093,585##673##1110##1093,,,,
23,CBPF-AFG-24-R-INGO-28017,7|||9,62.00|||38.00,316##317##,Kabul,Bagrami,,,,,651##1061##855##1198|||232##378##304##426,651##1061##855##1198|||232##378##304##426,,,,,"34.52543790,69.13517912","34.48796668,69.31831566",,,,,141474.50|||86710.18,141474.50|||86710.18,,,,,2024,736##6419##2819##4701|||0##3100##2230##2231,736##6419##2819##4701|||0##3100##2230##2231,,,,
23,CBPF-AFG-24-R-INGO-28017,7|||9,62.00|||38.00,316##317##,Kabul,Kabul,,,,,7654##12475##10042##14067|||2726##4444##3577##5010,7654##12475##10042##14067|||2726##4444##3577##5010,,,,,"34.52543790,69.13517912","34.52543790,69.13517912",,,,,287236.11|||176047.94,287236.11|||176047.94,,,,,2024,2772##13565##4542##6537|||0##3404##2827##3111,2772##13565##4542##6537|||0##3404##2827##3111,,,,
23,CBPF-AFG-24-R-INGO-28036,10,100.00,316##317##,Badghis,Ab Kamari,,,,,227##227##908##908,227##227##908##908,,,,,"34.82739010,63.12426932","35.02403836,62.93179277",,,,,84854.91,84854.91,,,,,2024,465##386##683##810,465##386##683##810,,,,
23,CBPF-AFG-24-R-INGO-28036,10,100.00,316##317##,Badghis,Bala Murghab,,,,,222##222##914##914,222##222##914##914,,,,,"34.82739010,63.12426932","35.48229454,63.48443685",,,,,84914.33,84914.33,,,,,2024,428##402##753##795,428##402##753##795,,,,
23,CBPF-AFG-24-R-INGO-28036,10,100.00,316##317##,Badghis,Ghormach,,,,,222##222##914##914,222##222##914##914,,,,,"34.82739010,63.12426932","35.81156658,63.64182914",,,,,84914.33,84914.33,,,,,2024,412##362##788##758,412##362##788##758,,,,
23,CBPF-AFG-24-R-INGO-28036,10,100.00,316##317##,Badghis,Muqur,,,,,222##222##914##914,222##222##914##914,,,,,"34.82739010,63.12426932","35.09271952,63.26860488",,,,,84914.33,84914.33,,,,,2024,441##381##758##765,441##381##758##765,,,,
23,CBPF-AFG-24-R-INGO-28036,10,100.00,316##317##,Balkh,Chemtal,,,,,222##222##914##914,222##222##914##914,,,,,"36.70287015,67.11435314","36.52154598,66.60837035",,,,,84914.33,84914.33,,,,,2024,474##424##792##756,474##424##792##756,,,,
23,CBPF-AFG-24-R-INGO-28036,10,100.00,316##317##,Jawzjan,Khanaqa,,,,,222##222##914##914,222##222##914##914,,,,,"36.61767965,65.76233253","36.78282499,66.08472851",,,,,84854.91,84854.91,,,,,2024,400##427##785##756,400##427##785##756,,,,
23,CBPF-AFG-24-R-INGO-28036,10,100.00,316##317##,Jawzjan,Shiberghan,,,,,222##222##914##914,222##222##914##914,,,,,"36.61767965,65.76233253","36.61767965,65.76233253",,,,,84854.91,84854.91,,,,,2024,422##407##695##768,422##407##695##768,,,,
23,CBPF-AFG-24-R-INGO-28066,9,100.00,316##317##,Nangarhar,Dara-e-Nur,,,,,0##4244##2275##3091,0##4244##2275##3091,,,,,"34.42690434,70.45503228","34.71042109,70.58688606",,,,,50429.65,50429.65,,,,,2024,1355##7694##2509##2706,1355##7694##2509##2706,,,,
23,CBPF-AFG-24-R-INGO-28066,9,100.00,316##317##,Nangarhar,Kot,,,,,0##4244##2275##3093,0##4244##2275##3093,,,,,"34.42690434,70.45503228","34.16808670,70.60431573",,,,,50429.65,50429.65,,,,,2024,0##8986##2199##2454,0##8986##2199##2454,,,,
23,CBPF-AFG-24-R-INGO-28066,9,100.00,316##317##,Nangarhar,Kuz Kunar,,,,,0##4245##2275##3093,0##4245##2275##3093,,,,,"34.42690434,70.45503228","34.55676236,70.64013990",,,,,50429.65,50429.65,,,,,2024,895##10026##2268##2844,895##10026##2268##2844,,,,
23,CBPF-AFG-24-R-INGO-28066,9,100.00,316##317##,Nangarhar,Rodat,,,,,0##4245##2277##3093,0##4245##2277##3093,,,,,"34.42690434,70.45503228","34.26522341,70.55111733",,,,,50429.65,50429.65,,,,,2024,280##11897##3252##3267,280##11897##3252##3267,,,,
23,CBPF-AFG-24-R-INGO-28075,4|||11,80.00|||20.00,316##317##,Kunar,Nurgal,,,,,896##800##845##897|||306##278##346##341,896##800##845##897|||306##278##346##341,,,,,"34.87348561,71.12998779","34.69480754,70.73331238",,,,,264014.96|||66178.35,264014.96|||66178.35,,,,,2024,615##628##1113##1058|||451##456##776##767,615##628##1113##1058|||451##456##776##767,,,,
23,CBPF-AFG-24-R-INGO-28075,4|||11,80.00|||20.00,316##317##,Laghman,Alishang,,,,,624##560##591##627|||213##194##240##236,624##560##591##627|||213##194##240##236,,,,,"34.63364302,69.95091270","34.82588625,70.08079129",,,,,184391.40|||45835.93,184391.40|||45835.93,,,,,2024,453##506##850##929|||338##371##653##691,453##506##850##929|||338##371##653##691,,,,
23,CBPF-AFG-24-R-INGO-28075,4|||11,80.00|||20.00,316##317##,Laghman,Qarghayi,,,,,840##753##796##843|||290##265##328##323,840##753##796##843|||290##265##328##323,,,,,"34.63364302,69.95091270","34.51781658,70.20309012",,,,,250045.92|||62598.79,250045.92|||62598.79,,,,,2024,626##701##1178##1236|||305##334##612##652,626##701##1178##1236|||305##334##612##652,,,,
23,CBPF-AFG-24-R-INGO-28084,11,100.00,316##317##,Kunar,Nurgal,,,,,390##405##640##659,390##405##640##659,,,,,"34.87348561,71.12998779","34.69480754,70.73331238",,,,,118965.71,118965.71,,,,,2024,362##385##879##964,362##385##879##964,,,,
