PFId,PrjCode,ClstAgg,ClstPrct,AdmLocTypeIdAgg,AdmLoc1,AdmLoc2,AdmLoc3,AdmLoc4,AdmLoc5,AdmLoc6,AdmLocBenClustAgg1,AdmLocBenClustAgg2,AdmLocBenClustAgg3,AdmLocBenClustAgg4,AdmLocBenClustAgg5,AdmLocBenClustAgg6,AdmLocCord1,AdmLocCord2,AdmLocCord3,AdmLocCord4,AdmLocCord5,AdmLocCord6,AdmLocClustBdg1,AdmLocClustBdg2,AdmLocClustBdg3,AdmLocClustBdg4,AdmLocClustBdg5,AdmLocClustBdg6,AYr,AdmLocBenReachedClustAgg1,AdmLocBenReachedClustAgg2,AdmLocBenReachedClustAgg3,AdmLocBenReachedClustAgg4,AdmLocBenReachedClustAgg5,AdmLocBenReachedClustAgg6
21,CBPF-SOM-23-R-INGO-26571,7,100.00,1##2##3##,Middle Shabelle,Jowhar,Mahadaay,,,,340##226##356##695,340##226##356##695,340##226##356##695,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.97043000,45.53468000",,,,20000.00,20000.00,20000.00,,,,2023,1591##4438##1062##1359,1591##4438##1062##1359,1591##4438##1062##1359,,,
21,CBPF-SOM-23-R-INGO-26571,7,100.00,1##2##3##,Middle Shabelle,Jowhar,Mayoongaale,,,,92##61##96##188,92##61##96##188,92##61##96##188,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.77460000,45.52667000",,,,8000.00,8000.00,8000.00,,,,2023,258##473##160##221,258##473##160##221,258##473##160##221,,,
21,CBPF-SOM-23-R-INGO-26571,7,100.00,1##2##3##,Middle Shabelle,Jowhar,Shamiindo,,,,191##127##199##390,191##127##199##390,191##127##199##390,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.76553000,45.58878000",,,,12000.00,12000.00,12000.00,,,,2023,305##523##249##352,305##523##249##352,305##523##249##352,,,
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,Blook,,,,111##148##37##74,111##148##37##74,111##148##37##74,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.77497000,45.58738000",,,,12000.00,12000.00,12000.00,,,,2023,286##369##216##313,286##369##216##313,286##369##216##313,,,
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,Buulo-Waray,,,,126##168##42##84,126##168##42##84,126##168##42##84,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.84238000,45.54567000",,,,12000.00,12000.00,12000.00,,,,2023,319##333##194##238,319##333##194##238,319##333##194##238,,,
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,"Daa, Ifo",,,,144##192##48##96,144##192##48##96,144##192##48##96,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.85798000,45.47563000",,,,12000.00,12000.00,12000.00,,,,2023,300##331##233##277,300##331##233##277,300##331##233##277,,,
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,Dabeyley,,,,852##1136##284##568,852##1136##284##568,852##1136##284##568,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.90340000,45.43677000",,,,80000.00,80000.00,80000.00,,,,2023,296##319##245##292,296##319##245##292,296##319##245##292,,,
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,Guumbe,,,,129##172##43##86,129##172##43##86,129##172##43##86,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.83822000,45.52487000",,,,12000.00,12000.00,12000.00,,,,2023,329##336##257##250,329##336##257##250,329##336##257##250,,,
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,Jowhar,,,,1284##1712##428##856,1284##1712##428##856,1284##1712##428##856,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.78087500,45.49681800",,,,103000.00,103000.00,103000.00,,,,2023,1607##1863##1313##1398,1607##1863##1313##1398,1607##1863##1313##1398,,,
21,CBPF-SOM-23-R-INGO-26572,11,100.00,1##2##3##,Middle Shabelle,Jowhar,Mahadaay,,,,1458##1944##486##972,1458##1944##486##972,1458##1944##486##972,,,,"2.82500000,45.93700000","2.78087500,45.49681800","2.97043000,45.53468000",,,,161000.00,161000.00,161000.00,,,,2023,609##599##468##444,609##599##468##444,609##599##468##444,,,
