PooledFundId,PooledFundName,CHFId,CHFProjectCode,OrganizationName,OrganizationAcronym,OrganizationType,ProjectStatus,ClusterId,ClusterName,LocationBeneficiaryId,ActivityCode,StandardActivityID,GlobalStandardActivityID,GlobalClusterId
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93252,Activity 1.1.2,,41,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93251,Activity 1.1.2,,41,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93236,Activity 1.1.2,,41,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93254,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93250,Activity 1.1.2,,41,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93239,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93250,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93239,Activity 1.1.4,,46,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93236,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93254,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93252,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93251,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93247,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93238,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93237,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93248,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93237,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93236,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93235,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,94218,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93254,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93252,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93251,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93250,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93249,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93248,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93247,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93246,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93239,Activity 1.1.2,,112,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93250,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93249,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93248,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93247,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93246,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93239,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93238,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93237,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93236,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93235,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,94218,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93254,Activity 1.1.3,,114,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93239,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93247,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93251,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93252,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93236,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93235,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93239,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93246,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93247,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93249,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93250,Activity 1.1.2,,126,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93249,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93250,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93251,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93252,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93236,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93235,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93239,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6379,"Water, Sanitation and Hygiene",93246,Activity 1.1.1,,128,11
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93248,Activity 1.1.4,,46,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93248,Activity 1.1.3,,51,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93248,Activity 1.1.2,,41,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93248,Activity 1.1.1,,54,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93248,Activity 1.1.3,,72,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93254,Activity 1.1.2,,73,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6376,Protection - General Protection,93251,Activity 1.1.1,,80,10
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93238,Activity 1.1.4,,46,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93250,Activity 1.1.1,,54,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93251,Activity 1.1.1,,54,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93252,Activity 1.1.1,,54,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93236,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93254,Activity 1.1.1,,54,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93236,Activity 1.1.1,,54,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6378,Health,93237,Activity 1.1.1,,54,7
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,94218,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93235,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93251,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93238,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6380,Shelter/NFI,93237,Activity 1.1.1,,116,4
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6384,Camp Coordination and Camp Management	,93250,Activity 1.1.3,,8,1
89,Mozambique (RhPF),39383,CBPF-MOZ-26-R-UN-NSFT-39383,International Organization for Migration,IOM,UN Agency,Implementation & Reporting,6384,Camp Coordination and Camp Management	,93249,Activity 1.1.3,,8,1
